"","poisonous","capShape","capSurface","capColor","bruisesTrueFalse","odor","gillAttachment","gillSpacing","gillSize","gillColor","stalkShape","stalkRoot","stalkSurfaceAboveRing","stalkSurfaceBelowRing","stalkColorAboveRing","stalkColorBelowRing","veilType","veilColor","ringNumber","ringType","sporePrintColor","population","habitat"
"1066",0,"flat","fibrous","yellow",1,"anise","free","crowded","narrow","pink","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","purple","several","woods"
"1067",0,"convex","scaly","white",1,"almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses"
"1068",0,"flat","fibrous","white",0,"none","free","crowded","broad","pink","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"1069",0,"convex","fibrous","brown",1,"none","free","close","broad","purple","tapering","bulbous","smooth","smooth","gray","gray","partial","white",1,"pendant","black","several","woods"
"1070",0,"convex","scaly","brown",1,"anise","free","close","broad","brown","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"1071",0,"convex","smooth","white",0,"none","free","crowded","broad","chocolate","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"1072",1,"flat","scaly","white",1,"pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","grasses"
"1073",0,"convex","smooth","yellow",1,"almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"1074",0,"convex","fibrous","gray",1,"none","free","close","broad","pink","tapering","bulbous","smooth","smooth","pink","white","partial","white",1,"pendant","black","solitary","woods"
"1075",0,"flat","scaly","yellow",1,"anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","scattered","paths"
"1076",0,"flat","smooth","gray",0,"none","free","crowded","broad","black","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1077",0,"flat","fibrous","brown",0,"none","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","solitary","urban"
"1078",1,"flat","scaly","white",1,"pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","grasses"
"1079",0,"flat","fibrous","gray",0,"none","free","crowded","broad","black","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","brown","scattered","grasses"
"1080",0,"convex","scaly","brown",1,"anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","scattered","paths"
"1081",0,"flat","fibrous","white",0,"none","free","crowded","broad","chocolate","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1082",1,"flat","scaly","brown",1,"pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","urban"
"1083",0,"bell","smooth","yellow",1,"anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","meadows"
"1084",0,"flat","fibrous","gray",0,"none","free","crowded","broad","brown","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","black","scattered","grasses"
"1085",0,"bell","smooth","white",1,"anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses"
"1086",0,"flat","fibrous","gray",0,"none","free","crowded","broad","pink","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","brown","scattered","grasses"
"1087",0,"bell","scaly","white",1,"anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows"
"1088",0,"convex","scaly","white",1,"anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","meadows"
"1089",1,"flat","scaly","brown",1,"pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","grasses"
"1090",0,"convex","scaly","yellow",1,"anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses"
"1091",0,"sunken","fibrous","brown",0,"none","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","solitary","urban"
"1092",0,"convex","scaly","brown",1,"almond","free","close","broad","brown","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","solitary","grasses"
"1093",0,"flat","fibrous","gray",0,"none","free","crowded","broad","brown","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"1094",0,"flat","fibrous","yellow",1,"anise","free","crowded","narrow","brown","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","purple","several","woods"
"1095",0,"convex","smooth","gray",0,"none","free","crowded","broad","pink","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"1096",1,"flat","scaly","brown",1,"pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","urban"
"1097",0,"convex","fibrous","gray",0,"none","free","crowded","broad","pink","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1098",0,"convex","smooth","gray",0,"none","free","crowded","broad","chocolate","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1099",0,"convex","fibrous","gray",0,"none","free","crowded","broad","chocolate","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","scattered","grasses"
"1100",1,"convex","scaly","brown",1,"pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"1101",0,"convex","fibrous","brown",0,"none","free","crowded","broad","black","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"1102",0,"flat","smooth","white",0,"none","free","crowded","broad","black","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","brown","scattered","grasses"
"1103",0,"convex","fibrous","gray",0,"none","free","crowded","broad","chocolate","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","brown","scattered","grasses"
"1104",1,"convex","scaly","brown",1,"pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"1105",0,"flat","fibrous","brown",0,"none","free","crowded","broad","brown","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"1106",0,"flat","smooth","white",0,"none","free","crowded","broad","brown","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1107",1,"convex","scaly","white",1,"pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","urban"
"1108",0,"flat","fibrous","gray",0,"none","free","crowded","broad","black","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"1109",0,"bell","scaly","yellow",1,"anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses"
"1110",0,"convex","smooth","brown",0,"none","free","crowded","broad","chocolate","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"1111",0,"flat","fibrous","brown",0,"none","free","crowded","broad","black","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1112",1,"flat","smooth","white",1,"pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses"
"1113",0,"convex","scaly","brown",1,"almond","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"1114",0,"flat","fibrous","white",0,"none","free","crowded","broad","black","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1115",0,"flat","scaly","brown",1,"anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","scattered","grasses"
"1116",0,"flat","fibrous","gray",0,"none","free","crowded","broad","pink","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","black","scattered","grasses"
"1117",0,"flat","fibrous","gray",0,"none","free","crowded","broad","brown","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","brown","scattered","grasses"
"1118",0,"flat","smooth","gray",0,"none","free","crowded","broad","chocolate","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","brown","scattered","grasses"
"1119",0,"flat","fibrous","brown",0,"none","free","crowded","broad","black","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","scattered","grasses"
"1120",0,"convex","smooth","gray",0,"none","free","crowded","broad","chocolate","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","brown","scattered","grasses"
"1121",0,"convex","fibrous","white",0,"none","free","crowded","broad","pink","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","scattered","grasses"
"1122",0,"flat","fibrous","white",0,"none","free","crowded","broad","black","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1123",0,"convex","smooth","brown",0,"none","free","crowded","broad","pink","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","brown","scattered","grasses"
"1124",0,"convex","fibrous","brown",1,"none","free","close","broad","pink","tapering","bulbous","smooth","smooth","pink","pink","partial","white",1,"pendant","black","several","woods"
"1125",0,"flat","smooth","yellow",1,"almond","free","crowded","narrow","pink","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","purple","several","woods"
"1126",0,"convex","fibrous","white",0,"none","free","crowded","broad","pink","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","black","scattered","grasses"
"1127",0,"flat","smooth","white",0,"none","free","crowded","broad","pink","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1128",0,"bell","smooth","yellow",1,"almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses"
"1129",0,"convex","fibrous","white",0,"none","free","crowded","broad","chocolate","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"1130",0,"convex","fibrous","gray",0,"none","free","crowded","broad","black","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1131",1,"flat","smooth","brown",1,"pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","urban"
"1132",0,"convex","fibrous","gray",0,"none","free","crowded","broad","brown","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1133",1,"convex","smooth","brown",1,"pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses"
"1134",0,"flat","smooth","white",0,"none","free","crowded","broad","black","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","brown","scattered","grasses"
"1135",0,"convex","scaly","white",1,"almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses"
"1136",0,"convex","fibrous","brown",0,"none","free","crowded","broad","chocolate","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","black","scattered","grasses"
"1137",0,"convex","fibrous","brown",1,"none","free","close","broad","brown","tapering","bulbous","smooth","smooth","white","pink","partial","white",1,"pendant","brown","solitary","woods"
"1138",0,"bell","scaly","yellow",1,"anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"1139",0,"flat","fibrous","white",0,"none","free","crowded","broad","chocolate","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"1140",0,"convex","smooth","brown",0,"none","free","crowded","broad","brown","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"1141",0,"flat","fibrous","white",0,"none","free","crowded","broad","brown","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"1142",0,"convex","fibrous","brown",1,"none","free","close","broad","pink","tapering","bulbous","smooth","smooth","white","pink","partial","white",1,"pendant","brown","several","woods"
"1143",0,"flat","fibrous","white",0,"none","free","crowded","broad","chocolate","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","brown","scattered","grasses"
"1144",0,"convex","smooth","white",0,"none","free","crowded","broad","black","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1145",0,"convex","smooth","brown",0,"none","free","crowded","broad","brown","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"1146",0,"convex","fibrous","white",0,"none","free","crowded","broad","brown","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","brown","scattered","grasses"
"1147",0,"flat","smooth","gray",0,"none","free","crowded","broad","black","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","scattered","grasses"
"1148",0,"convex","fibrous","gray",0,"none","free","crowded","broad","brown","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"1149",0,"convex","fibrous","gray",0,"none","free","crowded","broad","chocolate","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1150",0,"flat","smooth","brown",0,"none","free","crowded","broad","chocolate","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1151",0,"flat","smooth","white",0,"none","free","crowded","broad","pink","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1152",0,"flat","scaly","brown",1,"almond","free","close","broad","brown","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","solitary","paths"
"1153",1,"convex","scaly","white",1,"pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","grasses"
"1154",0,"flat","smooth","gray",0,"none","free","crowded","broad","chocolate","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1155",1,"convex","scaly","white",1,"pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","grasses"
"1156",0,"bell","scaly","white",1,"almond","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows"
"1157",0,"convex","smooth","gray",0,"none","free","crowded","broad","brown","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","black","scattered","grasses"
"1158",0,"flat","fibrous","gray",0,"none","free","crowded","broad","chocolate","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1159",0,"flat","fibrous","white",0,"none","free","crowded","broad","brown","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","brown","scattered","grasses"
"1160",0,"flat","smooth","gray",0,"none","free","crowded","broad","chocolate","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","black","scattered","grasses"
"1161",0,"bell","scaly","white",1,"almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses"
"1162",0,"convex","fibrous","gray",0,"none","free","crowded","broad","brown","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","scattered","grasses"
"1163",0,"convex","fibrous","red",1,"none","free","close","broad","pink","tapering","bulbous","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","woods"
"1164",0,"convex","scaly","yellow",1,"almond","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","scattered","paths"
"1165",0,"convex","smooth","white",0,"none","free","crowded","broad","black","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","black","scattered","grasses"
"1166",0,"bell","smooth","white",1,"almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows"
"1167",1,"convex","smooth","brown",1,"pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","grasses"
"1168",0,"convex","fibrous","brown",1,"none","free","close","broad","pink","tapering","bulbous","smooth","smooth","pink","pink","partial","white",1,"pendant","black","solitary","woods"
"1169",0,"flat","smooth","brown",0,"none","free","crowded","broad","brown","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","black","scattered","grasses"
"1170",0,"bell","smooth","white",1,"almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows"
"1171",0,"convex","smooth","gray",0,"none","free","crowded","broad","brown","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","scattered","grasses"
"1172",0,"convex","fibrous","brown",1,"none","free","close","broad","purple","tapering","bulbous","smooth","smooth","pink","gray","partial","white",1,"pendant","black","several","woods"
"1173",0,"flat","fibrous","white",0,"none","free","crowded","broad","pink","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"1174",0,"convex","fibrous","brown",0,"none","free","close","narrow","gray","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","urban"
"1175",0,"convex","fibrous","gray",0,"none","free","close","narrow","gray","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","urban"
"1176",0,"convex","fibrous","gray",0,"none","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","solitary","urban"
"1177",0,"bell","scaly","yellow",1,"anise","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows"
"1178",0,"flat","fibrous","brown",0,"none","free","close","narrow","gray","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","urban"
"1179",0,"convex","fibrous","white",0,"none","free","crowded","broad","black","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"1180",0,"flat","scaly","brown",1,"almond","free","close","broad","white","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","scattered","paths"
"1181",0,"convex","scaly","brown",1,"anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","solitary","paths"
"1182",0,"convex","scaly","yellow",1,"anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","solitary","grasses"
"1183",0,"flat","fibrous","gray",0,"none","free","crowded","broad","chocolate","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"1184",0,"convex","scaly","white",1,"almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses"
"1185",0,"convex","scaly","white",1,"almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses"
"1186",0,"flat","smooth","white",0,"none","free","crowded","broad","brown","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"1187",0,"flat","smooth","gray",0,"none","free","crowded","broad","chocolate","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1188",1,"flat","smooth","brown",1,"pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","urban"
"1189",0,"convex","scaly","yellow",1,"anise","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"1190",0,"convex","fibrous","brown",0,"none","free","crowded","broad","pink","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","brown","scattered","grasses"
"1191",0,"convex","fibrous","white",0,"none","free","crowded","broad","pink","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","black","scattered","grasses"
"1192",0,"convex","smooth","yellow",1,"anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","meadows"
"1193",0,"convex","fibrous","red",1,"none","free","close","broad","pink","tapering","bulbous","smooth","smooth","gray","pink","partial","white",1,"pendant","brown","several","woods"
"1194",0,"flat","scaly","brown",1,"anise","free","close","broad","pink","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","brown","scattered","paths"
"1195",0,"bell","smooth","white",1,"almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses"
"1196",1,"convex","smooth","brown",1,"pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses"
"1197",0,"convex","fibrous","gray",0,"none","free","crowded","broad","black","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","scattered","grasses"
"1198",0,"bell","scaly","white",1,"almond","free","close","broad","brown","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","meadows"
"1199",0,"convex","smooth","white",1,"anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses"
"1200",0,"bell","scaly","yellow",1,"anise","free","close","broad","black","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","meadows"
"1201",0,"convex","scaly","white",1,"anise","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses"
"1202",0,"convex","smooth","yellow",1,"almond","free","close","broad","gray","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","brown","numerous","grasses"
"1203",0,"bell","smooth","white",1,"almond","free","close","broad","white","enlarging","club","smooth","smooth","white","white","partial","white",1,"pendant","black","numerous","grasses"
"1204",0,"flat","smooth","brown",0,"none","free","crowded","broad","black","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","black","scattered","grasses"
"1205",1,"flat","smooth","white",1,"pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"1206",0,"flat","smooth","brown",0,"none","free","crowded","broad","chocolate","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"1207",0,"flat","fibrous","brown",0,"none","free","crowded","broad","chocolate","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1208",1,"flat","scaly","white",1,"pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","urban"
"1209",0,"flat","smooth","white",0,"none","free","crowded","broad","chocolate","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1210",0,"convex","fibrous","white",0,"none","free","crowded","broad","pink","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","brown","scattered","grasses"
"1211",0,"convex","smooth","brown",0,"none","free","crowded","broad","pink","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1212",0,"flat","smooth","brown",0,"none","free","crowded","broad","pink","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1213",0,"flat","scaly","yellow",1,"almond","free","close","broad","brown","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","solitary","grasses"
"1214",0,"convex","fibrous","gray",0,"none","free","crowded","broad","brown","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1215",0,"convex","fibrous","brown",0,"none","free","crowded","broad","brown","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1216",1,"flat","smooth","brown",1,"pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","grasses"
"1217",0,"convex","smooth","white",0,"none","free","crowded","broad","pink","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"1218",0,"flat","fibrous","brown",0,"none","free","crowded","broad","pink","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","scattered","grasses"
"1219",0,"flat","fibrous","white",0,"none","free","crowded","broad","chocolate","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"1220",0,"flat","fibrous","white",0,"none","free","crowded","broad","black","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","brown","scattered","grasses"
"1221",0,"convex","scaly","yellow",1,"almond","free","close","broad","brown","enlarging","rooted","smooth","scaly","white","white","partial","white",1,"pendant","black","scattered","grasses"
"1222",0,"convex","smooth","gray",0,"none","free","crowded","broad","black","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","brown","scattered","grasses"
"1223",0,"convex","fibrous","gray",0,"none","free","crowded","broad","black","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"1224",0,"flat","fibrous","brown",0,"none","free","crowded","broad","chocolate","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","black","scattered","grasses"
"1225",0,"flat","smooth","brown",0,"none","free","crowded","broad","pink","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1226",0,"convex","fibrous","white",0,"none","free","crowded","broad","black","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","black","scattered","grasses"
"1227",0,"convex","scaly","red",1,"none","free","close","broad","white","tapering","bulbous","smooth","smooth","gray","pink","partial","white",1,"pendant","brown","several","woods"
"1228",0,"convex","fibrous","brown",0,"none","free","crowded","broad","pink","tapering","equal","smooth","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1229",1,"convex","smooth","white",1,"pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","several","grasses"
"1230",0,"convex","scaly","brown",1,"none","free","close","broad","white","tapering","bulbous","smooth","smooth","pink","gray","partial","white",1,"pendant","black","solitary","woods"
"1231",0,"convex","fibrous","brown",0,"none","free","crowded","broad","brown","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","brown","scattered","grasses"
"1232",1,"flat","scaly","white",1,"pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","brown","scattered","grasses"
"1233",0,"flat","fibrous","gray",0,"none","free","crowded","broad","black","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1234",0,"convex","fibrous","white",0,"none","free","crowded","broad","pink","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"1235",0,"flat","smooth","brown",0,"none","free","crowded","broad","chocolate","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1236",0,"flat","fibrous","gray",0,"none","free","crowded","broad","pink","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1237",0,"flat","smooth","gray",0,"none","free","crowded","broad","pink","tapering","equal","fibrous","smooth","white","white","partial","white",1,"evanescent","black","abundant","grasses"
"1238",0,"flat","fibrous","gray",0,"none","free","crowded","broad","chocolate","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","brown","scattered","grasses"
"1239",0,"convex","smooth","gray",0,"none","free","crowded","broad","chocolate","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","brown","scattered","grasses"
"1240",0,"convex","smooth","brown",0,"none","free","crowded","broad","chocolate","tapering","equal","smooth","fibrous","white","white","partial","white",1,"evanescent","black","scattered","grasses"
"1241",1,"flat","smooth","white",1,"pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","several","urban"
"1242",0,"convex","smooth","gray",0,"none","free","crowded","broad","black","tapering","equal","fibrous","fibrous","white","white","partial","white",1,"evanescent","brown","abundant","grasses"
"1243",1,"convex","smooth","white",1,"pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white",1,"pendant","black","scattered","grasses"
